关键词,热度,标准化热度
当教师不是铁饭碗你还会卷教资吗,716465,3.871695347880915
胖东来员工平均月收入超9000元,278985,1.371770206204395
验车民警办公室外车托排队送钱,308727,1.541727172382833
同事想离职突然得知被裁,594881,3.1769186759745467
小伙飞机上丢行李国航称无法联系机组,332024,1.6748549862843551
女子182元买1斤多螃蟹绳重占8两,329474,1.660283327897057
央行建议加大货币政策调控强度,122868,0.47965899347898283
3岁女童遭狗群撕咬在ICU救治,262276,1.276288700324645
中学招聘教师有硕博学历无可厚非,482437,2.534371399228925
货车撞上出殡队伍致20死整改报告发布,1034229,5.687518271716742
福彩5亿巨奖中奖者纳税过亿,461528,2.4148895148289196
清华澄清80%毕业生出国不归传言,1767585,9.878190078883529
亲历者讲述赴泰拍短剧被骗逃脱经历,243700,1.1701384547550577
女子为牟利将烟花爆竹搬进居民楼,576170,3.0699969896668082
网传北京一二代社保卡将停用是谣言,5286538,29.986810077690368
年轻人开始流行换房过年,1183952,6.543091765332985
银川未来几日还可能有较强地震发生,447249,2.333293942235889
女子收到50万元转账险成电诈帮凶,1330818,7.382339287179615
泻立停仍有电商平台在售,663932,3.5715020419750623
微博之夜全员人脸识别,5460063,30.978397145006404
骗子称驾照1分卖500引诱人卖分,335207,1.693043844577206
广东25年前宾馆床底藏女尸案告破,646439,3.471540465438198
为领3毛红包上课却买上千保健品,400895,2.0684097646340023
网传泸溪河鸡蛋糕吃出钉子,394332,2.030906316008184
被家暴16次女子总结2024,5431315,30.814120268411088
银川4.8级地震,208885,0.9711924599496541
福彩双色球开出5.28亿巨奖,203178,0.9385805170412974
经济学家建议补贴初婚初育,647822,3.4794434472223674
老人在自家熏腊肉被罚200元,237274,1.133417875619067
老人沉迷直播间假古董背上高额贷款,1357930,7.537267444903703
官方回应幼儿园在厕所洗幼儿餐具属实,348394,1.76839931875497
医生称森碟下巴后缩或影响口腔功能,1159527,6.4035181354860224
贪官每次收钱都退回一两捆,542978,2.8803254268467318
杀熊救妻丈夫与熊搏斗近半小时,219749,1.0332734390553817
官方通报上午9点办事大厅空岗,570720,3.0388536413488576
私营医院被指用体检卡抵工资,392571,2.0208433001571913
女生打车拒绝司机绕路被丢高速路边,489434,2.574354886968503
女子称在三亚冲浪时遭教练猥亵,144136,0.6011923388048863
警方通报19岁女生被司机扔高速,667412,3.5913880698918454
警方通报男子用加特林烟花射向气球海,289081,1.4294625446664186
东方甄选变火药桶让俞敏洪后悔创办,85133,0.26402702122616334
云南一学校多名学生出现呕吐腹泻,306972,1.531698442786869
女子捡漏30万黄金女儿怕诈骗急哭,702621,3.7925855287774826
国家反诈中心曾提醒请勿前往妙瓦底,589076,3.1437467242340507
家属称老人信养生馆治癌拒就医去世,290471,1.4374055270814556
女孩凌晨店内熟睡突遭陌生男子闯入,5440321,30.86558393720952
泰警方称王星在缅甸灰产控制区,620157,3.3213552396597796
恋与深空秦彻抽卡爆率低,677084,3.6466575129984906
女子偷偷用公共餐具喂狗,5338432,30.28335189743564
向前女友泼汽油男子被判12年,401509,2.07191839139863
赵本山还是太超前了,274565,1.346512664999745
央行称择机降准降息,502299,2.647870332126381
民宿老板造谣有烟花秀揽客被抓,749235,4.05895544409729
官方回应公司用消费券抵工资,320789,1.6106539737426717
微博禁言800余个账号,403743,2.0846843070210705
车主入村借道40秒被收费3元,393776,2.0277291230421692
张家口一菜市场发生火灾致人伤亡,272107,1.3324667291895576
